time,tank,treatment,sampleday,metsch,chaoborus,adultsinfected,adultsnotinfected,juvenilesinfected,juvenilesnotinfected,adultsinfectedadjusted,adultsnotinfectedadjusted,juvenilesinfectedadjusted,juvenilesnotinfectedadjusted,totaldensity,lndensity,logone,adultdensity,juveniledensity,propinfected,densityinfected,lndensityinfected,infectedlnone,propadults
3,3,NMLC,Monday,No Parasites,0.1,0,15,0,76,0,7.5,0,38,45.5,3.817712326,3.839452313,7.5,38,0,0,0,0,0.164835165
3,4,NMHC,Monday,No Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,NMHC,Monday,No Parasites,1,0,3,0,5,0,1.5,0,2.5,4,1.386294361,1.609437912,1.5,2.5,0,0,0,0,0.375
3,6,NMHC,Monday,No Parasites,1,0,1,0,3,0,0.5,0,1.5,2,0.693147181,1.098612289,0.5,1.5,0,0,0,0,0.25
3,7,M-C,Monday,Parasites,0,0,36,0,98,0,18,0,49,67,4.204692619,4.219507705,18,49,0,0,0,0,0.268656716
3,8,M-C,Monday,Parasites,0,4,45,0,63,2,22.5,0,31.5,56,4.025351691,4.043051268,24.5,31.5,0.035714286,2,0.693147181,1.098612289,0.4375
3,9,M-C,Monday,Parasites,0,0,12,0,38,0,6,0,19,25,3.218875825,3.258096538,6,19,0,0,0,0,0.24
3,10,MHC,Monday,Parasites,1,0,0,0,1,0,0,0,0.5,0.5,-0.693147181,0.405465108,0,0.5,0,0,0,0,0
3,11,MHC,Monday,Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,MHC,Monday,Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,NM-C,Monday,No Parasites,0,0,41,0,71,0,20.5,0,35.5,56,4.025351691,4.043051268,20.5,35.5,0,0,0,0,0.366071429
3,14,NM-C,Monday,No Parasites,0,0,55,0,88,0,27.5,0,44,71.5,4.26969745,4.283586562,27.5,44,0,0,0,0,0.384615385
3,15,NM-C,Monday,No Parasites,0,0,33,0,73,0,16.5,0,36.5,53,3.970291914,3.988984047,16.5,36.5,0,0,0,0,0.311320755
3,16,MMC,Monday,Parasites,0.5,0,18,0,39,0,9,0,19.5,28.5,3.349904087,3.384390263,9,19.5,0,0,0,0,0.315789474
3,17,MMC,Monday,Parasites,0.5,0,14,0,46,0,7,0,23,30,3.401197382,3.433987204,7,23,0,0,0,0,0.233333333
3,18,MMC,Monday,Parasites,0.5,0,15,0,113,0,7.5,0,56.5,64,4.158883083,4.17438727,7.5,56.5,0,0,0,0,0.1171875
3,19,NMMC,Monday,No Parasites,0.5,0,11,0,60,0,5.5,0,30,35.5,3.569532696,3.597312261,5.5,30,0,0,0,0,0.154929577
3,20,NMMC,Monday,No Parasites,0.5,0,6,0,41,0,3,0,20.5,23.5,3.157000421,3.198673118,3,20.5,0,0,0,0,0.127659574
3,21,NMMC,Monday,No Parasites,0.5,0,19,0,109,0,9.5,0,54.5,64,4.158883083,4.17438727,9.5,54.5,0,0,0,0,0.1484375
3,23,MLC,Monday,Parasites,0.1,1,45,1,39,0.5,22.5,0.5,19.5,43,3.761200116,3.784189634,23,20,0.023255814,1,0,0.693147181,0.534883721
3,24,MLC,Monday,Parasites,0.1,4,16,0,84,2,8,0,42,52,3.951243719,3.970291914,10,42,0.038461538,2,0.693147181,1.098612289,0.192307692
3,27,NMMC,Thursday,No Parasites,0.5,0,21,0,51,0,10.5,0,25.5,36,3.583518938,3.610917913,10.5,25.5,0,0,0,0,0.291666667
3,28,NMMC,Thursday,No Parasites,0.5,0,34,0,99,0,17,0,49.5,66.5,4.197201948,4.212127598,17,49.5,0,0,0,0,0.255639098
3,29,NMMC,Thursday,No Parasites,0.5,0,21,0,66,0,10.5,0,33,43.5,3.772760938,3.795489189,10.5,33,0,0,0,0,0.24137931
3,30,MLC,Thursday,Parasites,0.1,0,34,2,35,0,17,1,17.5,35.5,3.569532696,3.597312261,17,18.5,0.028169014,1,0,0.693147181,0.478873239
3,31,MLC,Thursday,Parasites,0.1,1,62,2,29,0.5,31,1,14.5,47,3.850147602,3.871201011,31.5,15.5,0.031914894,1.5,0.405465108,0.916290732,0.670212766
3,32,MLC,Thursday,Parasites,0.1,0,26,1,65,0,13,0.5,32.5,46,3.828641396,3.850147602,13,33,0.010869565,0.5,-0.693147181,0.405465108,0.282608696
3,35,NM-C,Thursday,No Parasites,0,0,9,0,215,0,4.5,0,107.5,112,4.718498871,4.727387819,4.5,107.5,0,0,0,0,0.040178571
3,36,NM-C,Thursday,No Parasites,0,0,35,0,98,0,17.5,0,49,66.5,4.197201948,4.212127598,17.5,49,0,0,0,0,0.263157895
3,37,NM-C,Thursday,No Parasites,0,0,6,0,106,0,3,0,53,56,4.025351691,4.043051268,3,53,0,0,0,0,0.053571429
3,38,MMC,Thursday,Parasites,0.5,6,17,5,73,3,8.5,2.5,36.5,50.5,3.921973336,3.941581808,11.5,39,0.108910891,5.5,1.704748092,1.871802177,0.227722772
3,39,MMC,Thursday,Parasites,0.5,0,16,0,42,0,8,0,21,29,3.36729583,3.401197382,8,21,0,0,0,0,0.275862069
3,40,MMC,Thursday,Parasites,0.5,0,24,0,122,0,12,0,61,73,4.290459441,4.304065093,12,61,0,0,0,0,0.164383562
3,41,NMHC,Thursday,No Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,42,NMHC,Thursday,No Parasites,1,0,1,0,3,0,0.5,0,1.5,2,0.693147181,1.098612289,0.5,1.5,0,0,0,0,0.25
3,43,NMHC,Thursday,No Parasites,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,M-C,Thursday,Parasites,0,4,7,2,43,2,3.5,1,21.5,28,3.33220451,3.36729583,5.5,22.5,0.107142857,3,1.098612289,1.386294361,0.196428571
3,45,M-C,Thursday,Parasites,0,4,19,0,15,2,9.5,0,7.5,19,2.944438979,2.995732274,11.5,7.5,0.105263158,2,0.693147181,1.098612289,0.605263158
3,46,M-C,Thursday,Parasites,0,7,15,0,38,3.5,7.5,0,19,30,3.401197382,3.433987204,11,19,0.116666667,3.5,1.252762968,1.504077397,0.366666667
